Hugo_Symbol	Entrez_Gene_Id	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
LCE5A	254910	0.851435848990021	0.267974943540074	0.662227181931864	0.565197470179313	0.679831979542848	0.717367573681106	0.681915665112646	0.775586013170344	0.149563066366741	0.706172970163902	0.697211870435862	0.431701064300173	0.613542007877345	0.696912109818769	0.226173754899596	0.360895168937656	0.705786155152813	0.737924264107678	0.683500896843422	0.768958855058699	0.660618544620935	0.750620434292268	0.632864323002462	0.627966391193933	0.64713450862345	0.302323298668128	0.672640596405033	0.65569047268764	0.770089230288712	0.695245905697818	0.761212284899801	0.701017061744362	0.732773935254809	0.692467038445132	0.726673784155485	0.763445022397394	0.732812744353675	0.745270198423397	0.619321102020368	0.752665392266399	0.658577415517015	0.651411767252357	0.719719237028271	0.781293066938274	0.660258559945938	0.693084021676339	0.692553552271054	0.64907374532806	0.408473845011743	0.724533343233574	0.681688056508858	0.605053871988107	0.756148991124935	0.686912427275882	0.377340418794477	0.717946920776261	0.735916099244486	0.737255592104205	0.752185348025715	0.413469177512445	0.295517341344662
FCGR1C	100132417	0.918793586820226	0.749301540325259	0.826509693088941	0.852908938528752	0.877071104288459	0.87319264213554	0.794336044503915	0.922205754561099	0.890250241068434	0.871164972444931	0.844834841323355	0.869406913347141	0.846363452101684	0.776157654263407	0.56562812047692	0.889348182885269	0.883761143832044	0.910797300975178	0.859480464534254	0.92634152837658	0.89400804201312	0.75370915937543	0.861368995975219	0.843664738519131	0.773604604216319	0.58290151147467	0.889930508936455	0.857685428198171	0.867156935139507	0.851093492580535	0.841232016125654	0.861289999187816	0.869620063386413	0.889105563244001	0.834353799424669	0.841752141038442	0.830970534751357	0.884924805539728	0.878861889696281	0.846544651284347	0.762956373861246	0.895390811142752	0.859352631005765	0.901940639112732	0.80164279553712	0.862667329412746	0.796804894850476	0.849354737337523	0.911161323357071	0.896264714246961	0.845047359560562	0.875932594720417	0.843281236851007	0.856497148548704	0.206640656006616	0.895312266631558	0.806603010414929	0.82279678731118	0.915474476608479	0.758779935684866	0.724522029750695
EPHA10	284656	0.0595985278999279	0.0630358750318607	0.07229138779806	0.062186561151347	0.0765642003437549	0.0623574650476687	0.0750120530829017	0.026814083587295	0.0725195277417747	0.051662896422544	0.0484435677980017	0.0453104777497089	0.0741268792785748	0.0266059950790154	0.0508967959629261	0.0426749628024809	0.0849530995731066	0.0403823889252215	0.0494931429265067	0.0312288683347438	0.0407343542840031	0.0648688097296436	0.03231072652636	0.0518161259650013	0.0757597066464343	0.0781845838588741	0.0580150166376868	0.0367766737248051	0.0415686436194907	0.041111176940461	0.0379645661776045	0.0343385926876324	0.0371492247250052	0.0430345636707732	0.031135684542555	0.0390295665123146	0.0368078599353377	0.037242996403484	0.03320304089098	0.0364600107441085	0.0613534277019821	0.0321064966360008	0.0360646352438804	0.0452641682937618	0.0394778598204406	0.0441022182027499	0.045763544094044	0.0312302940502958	0.0537334921105371	0.0593126797647719	0.0351010690403892	0.079022211822946	0.0448510429747049	0.0612635362620093	0.0421305491884169	0.0441559543670908	0.110361070223585	0.039331727203905	0.0359088092309942	0.0422807256813937	0.0210878678179109
MED13	9969	0.0495869207939864	0.0286423971118553	0.0263458508990025	0.0277387199822086	0.0221929540488	0.0248112824918227	0.0260544373047128	0.0266947131010935	0.0313337323652539	0.0278682251047321	0.0308721848573638	0.025467769087717	0.0405969274927248	0.0242463322224797	0.0231295528249697	0.0326857410791425	0.0263911250360499	0.0249744217245627	0.032553763504506	0.0365215992335255	0.026544709928646	0.0241740406624333	0.0297651857368172	0.0263718497185998	0.0262743903886316	0.0232445666517709	0.0292302941723728	0.0272969167690213	0.0287285005776003	0.0287894758687224	0.0335745345627848	0.0263623725769927	0.0215352044407903	0.0314169570322593	0.0423364841127718	0.0336768478176389	0.032621688847158	0.031654323166279	0.0311109781595703	0.0296504769938569	0.0298015498855653	0.029124553241459	0.0249953535086109	0.0274371203232644	0.0289844119942362	0.0281546344036415	0.0262130161475092	0.0320416626682705	0.0322373032006342	0.0298149771908743	0.0311217001677987	0.0363263076464411	0.0350849407177554	0.029291791612491	0.0238484837469471	0.0252711544443786	0.026568012397914	0.0263282530439015	0.0250555168863898	0.0398407923213122	0.0346272063553766
GADD45B	4616	0.0211573435983448	0.0524456803922849	0.222441137143888	0.0352861856117339	0.198108562819988	0.726994808065122	0.379736538503309	0.864500542282612	0.025910296580668	0.0272071703999658	0.019635551780703	0.0134044078016263	0.0158645678521564	0.0333755575588595	0.0462886222985794	0.197478064662578	0.690482990581985	0.753754814281045	0.0198024850304857	0.211732378005768	0.0564979546983902	0.0582610750051297	0.588796034028681	0.0370520405933901	0.132476675339308	0.0330003510493446	0.0853355718591629	0.211846434188309	0.095255814393158	0.350351962867031	0.0500393295023097	0.576827586023667	0.242018713433094	0.125588145620935	0.225966163523747	0.0833741661370312	0.491085307707073	0.484959803521184	0.554444133108209	0.251916647401296	0.0235918296471604	0.199869256229054	0.406408941053205	0.107324681424983	0.041400091493727	0.279743553031397	0.249375509999817	0.841628763633775	0.427503830783241	0.431143962891678	0.0201883589677108	0.0428943840066904	0.0274282211489132	0.0197083412750518	0.0433002122629593	0.478176761540716	0.575511849208683	0.0482047130771241	0.226957580259501	0.165416389191535	0.0463316963631548
C19orf69	100170765	0.384520469180008	0.811067408494822	0.805120584748582	0.818565463189257	0.826862697866911	0.828865703622106	0.825302692750232	0.854005301460221	0.821913101058178	0.850923206013293	0.572674558540686	0.727941211507325	0.785186125706388	0.748263660632329	0.362989427484746	0.847384374863187	0.778622120440885	0.900998237149931	0.747916291851785	0.850261851472672	0.808026347109104	0.83715516691704	0.843071588103006	0.842631125975644	0.789626983568549	0.813086395280462	0.870271046438054	0.849501024310511	0.809760973279099	0.824038449926506	0.468389219857774	0.863545774901829	0.799395132784586	0.799493751974756	0.831413686071074	0.814488974293441	0.83850556038476	0.844023275344461	0.805601452024347	0.847519351271018	0.779493863070257	0.792396098866053	0.839621876291868	0.882150563079337	0.8221530263099	0.810231277263647	0.817514438138635	0.825444929214672	0.814557731150806	0.85688207194828	0.817563787315103	0.79027447615501	0.644011229088089	0.741617206406457	0.183214407117869	0.838307131241414	0.719745203156995	0.846664259915732	0.874201993527007	0.816431650658622	0.795070370745577
SEPT10	151011	0.0531913986321982	0.0647656653465112	0.0426253308878065	0.0594148949487053	0.0551117827627926	0.442180200537342	0.0531607996858986	0.129408893799632	0.0406787393200139	0.0627123241241761	0.043489942643097	0.0391200680348021	0.0482458651313421	0.0358332793252393	0.0498783989515895	0.0499400705411176	0.0434511377442579	0.0556178874564007	0.0628295467267832	0.0735589544251987	0.0526938054359494	0.0494847716893556	0.0669043689041671	0.0604547737540837	0.0522403637881639	0.0623922595255538	0.0892382020102427	0.405015686464077	0.0713332504946327	0.0608621943363354	0.0512140361520384	0.0525850944448701	0.0606918021525973	0.0547898393564683	0.0469779607680091	0.053435032441739	0.050090911752066	0.0575324196957979	0.0451422401541456	0.420049797008866	0.0632059194116509	0.13464250257056	0.0709181718568997	0.0588141760582628	0.0437363898048432	0.065386259693161	0.293929981071001	0.0577507598639027	0.0582106332839066	0.115791320329828	0.0514363046136186	0.061037555541715	0.0581784633269518	0.0552970846960081	0.0392956882369138	0.133697211491238	0.0626981228807103	0.0386474052922792	0.562876190764478	0.0466816663585902	0.0600173482750044
HEXIM2	124790	0.0283223321684439	0.0281952154819442	0.0491618343385663	0.032642923470169	0.0280785114497	0.0303565695603381	0.0250562420230102	0.0323415707731252	0.0316639168303352	0.0266321438581122	0.0273659752122752	0.0246098867239183	0.0219126128769032	0.0240749618722323	0.0237563831180418	0.0199017495299119	0.0181833081424206	0.0319915021367329	0.0229622624436838	0.0205948401904815	0.0333876651223205	0.0411513025169364	0.0383646625221416	0.0337247803553988	0.0329171517525636	0.0300596182515696	0.035068091478405	0.0311054378777816	0.0354345847155977	0.0339464367210085	0.0241167021154099	0.0237004450999293	0.0280472836313575	0.0273645784713056	0.0252684777140989	0.0281668000140809	0.027146817661386	0.0238074239788861	0.0366439579519382	0.0249913293634834	0.0264912541493583	0.0222538809358878	0.0255873685546273	0.0264089686277538	0.0251516194243473	0.0256215663766655	0.023863566005638	0.0290448268905035	0.0300354551825888	0.0245137614685998	0.0215362131805265	0.0224314805238617	0.0203573353196299	0.02382792400394	0.0358513476741833	0.0334498865406712	0.037479698939272	0.0317119468128118	0.0292132099171262	0.0213995812686138	0.0217605842413852
SLC9A11	284525	0.873084276534923	0.905881932129647	0.879682343844142	0.909758928343081	0.895652748969593	0.908636145129297	0.914450190806951	0.905413883508146	0.924284335241498	0.906872497024085	0.880638408226089	0.912799909476019	0.888493235003447	0.843660118081351	0.903199759466782	0.880920445322047	0.920020288447973	0.898011095387419	0.88522268097433	0.870833917555831	0.923858745832424	0.91060174967998	0.932748360605522	0.927037336622251	0.916173443461313	0.908346745382894	0.916633389540649	0.934891670797473	0.918493630870545	0.912929153239913	0.87224247883998	0.883860565611451	0.865364142112909	0.835891952719933	0.867995823684976	0.854419806366393	0.854130283713467	0.872476192410412	0.860779603504905	0.877546683141929	0.810390244414097	0.868273557966932	0.839635152610266	0.870922480728109	0.867462804807156	0.895077166381392	0.886347701726741	0.842236473883286	0.860227681766077	0.786333856008327	0.850697970758957	0.859417960193648	0.865134180791529	0.853279777387524	0.871486180826632	0.897581486218766	0.92814991789564	0.927774278357482	0.92636995390078	0.882517470960886	0.839626620223286
C12orf34	84915	0.303533431103765	0.560777860975188	0.309699147353157	0.227395474997856	0.306211196092453	0.172462053099824	0.277654891533282	0.177431342372192	0.339840828928848	0.205603833390588	0.474687196924708	0.240926298258392	0.664986698909639	0.342750964357011	0.276278246395903	0.205106663725204	0.312073244777261	0.124039737010832	0.358369618237813	0.188842046403273	0.310677487193497	0.493628349789349	0.256852069498384	0.255252249724654	0.38690753119624	0.172169785668112	0.238325544424811	0.226975414146989	0.267118995053356	0.184933362816232	0.300654358112356	0.249750853723118	0.267743682441814	0.328124884173009	0.203246567325486	0.230840499666938	0.192417351350771	0.112046841067264	0.140345216100824	0.249933300209705	0.411411927711753	0.153983589590432	0.129895971022497	0.109386244784846	0.286637574914472	0.131483826899453	0.264610616095862	0.160387098874516	0.205612629576058	0.165264014508808	0.234752746527393	0.219037570049991	0.331425762777187	0.422108512926237	0.223178855404243	0.270874842496566	0.221899195992797	0.340156771627957	0.176661370861365	0.155691400379221	0.145337893143617
