Hugo_Symbol	Entrez_Gene_Id	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
ARGFXP2	503640	0	0.3451	0.692	0.3261	0	0	1.2104	0	0	0	0.672	0	0.3617	0.8621	0	0	1.772	0.6817	1.8207	0.3758	0	0	2.8736	2.3328	0	0.351	0.6198	0	0.3509	1.473	1.5649	0	1.0708	0.6382	1.912	0.9147	1.898	0.3606	0	0	1.043	0.4212	0.4102	0.4845	0.9833	0.7672	0	0	1.0087	0.7856	1.5959	0.8901	0	0.4632	1.2962	0	0.3624	0	0.6337	0.5492	0
ARGFX	503582	0	0	0	0	0	0	0	0.6691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3099	0	0	0	0	0	0	0	0	0.4574	0	0	0.552	0	0.5215	0	0	0	0	0	0	0	0	0	0.399	0	0	0	0	0	0	0	0	0	0
ARGLU1	55082	763.583	1444.7895	657.0934	902.5739	614.8027	1595.2533	1520.2744	1472.0642	973.0342	1048.2399	1128.3602	2555.5418	1458.9512	1528.1473	1338.4172	1570.0548	3053.4243	2778.0145	1664.0874	1229.2371	832.5946	678.823	1333.908	1811.2139	1193.1577	643.3836	1353.0642	1332.0292	2286.8673	950.3812	2645.2791	2205.9636	3065.7208	3384.1736	2980.4015	2120.3539	3079.4781	2261.0891	3340.4167	2063.2359	2792.1591	1940.1853	3326.2703	3730.1357	3160.767	4079.7852	2487.5364	3236.6785	2344.7232	3075.4092	3784.1612	2351.1348	1039.8827	1377.0264	2010.6935	816.5491	1272.9414	610.1847	1612.801	753.4839	689.0028
ARHGAP10	79658	220.2643	54.1753	123.8754	36.8464	256.7142	209.2195	114.9889	89.3275	166.2452	466.907	76.2769	60.9288	118.264	153.8924	72.5301	177.8513	287.0559	227.6949	59.6268	199.549	89.3283	203.4811	306.8966	102.3078	174.2025	104.5981	198.6519	168.7935	164.2249	206.2203	20.3443	108.2275	59.9652	134.6522	121.4149	41.6204	317.9122	182.8345	97.6956	118.3367	66.7532	163.016	214.1481	250.4845	93.412	165.7077	131.6499	90.1421	149.792	334.2921	211.4502	251.8914	76.8328	85.6878	224.8866	145.9332	158.3477	102.4452	198.3523	110.3865	117.8557
ARHGAP11A	9824	45.3115	194.617	113.4948	837.359	43.3741	499.4979	73.4315	179.9933	381.7345	171.4855	350.8065	92.1362	285.3526	103.4571	214.8788	165.8567	42.1724	123.7324	32.772	109.3574	48.7555	136.3448	217.8161	124.6355	40.3144	487.8905	35.0198	26.4967	40.0035	228.0208	50.5999	54.1137	224.3341	158.9024	88.9101	236.9162	201.1862	209.1598	96.0397	31.0924	26.597	282.2241	71.793	56.2016	105.2114	73.6479	63.451	676.7318	35.8089	58.1378	134.4504	51.1794	33.4311	30.5697	395.3338	31.9699	107.2561	92.3503	53.5488	478.8906	128.4982
ARHGAP11B	89839	1.6782	14.8378	8.9965	60.3238	2.0174	33.9571	6.052	17.4507	38.8769	11.6573	27.2177	2.4768	23.5226	7.7593	21.0134	13.6491	2.1263	13.6344	2.731	3.758	4.4323	3.3154	4.5977	6.9983	3.3287	31.941	1.5495	0.6542	1.4422	18.006	4.1732	1.1044	18.7391	5.7435	3.8241	12.3489	11.3879	15.1461	6.6234	1.3922	2.086	14.3218	2.0512	6.7829	9.3412	3.5175	3.8848	33.3037	0	5.4995	9.9741	4.4504	4.6921	1.3895	26.8957	1.8806	2.8988	3.365	2.8517	27.7339	3.9417
FLJ10971	94134	2113.2788	1004.1408	2935.6401	1407.337	2169.2094	2193.7015	2192.0516	3168.2837	1331.8128	1683.5647	1035.9543	1256.7183	850.9946	1956.201	1559.7356	1944.3698	2416.9398	2498.1679	622.6673	1677.189	1538.0157	2007.4596	991.3793	2790.9689	1564.8636	2903.1239	1894.166	1785.4164	2198.7894	2231.5987	2019.301	1424.0751	1767.3672	1709.6362	1990.4398	2767.5283	1739.9763	2012.9823	1472.0574	1123.967	1183.3039	1582.5611	1866.2066	2619.186	1988.6922	2021.4806	1034.2074	1318.3837	1984.6173	951.4167	1401.9549	1550.5118	1006.4516	1118.5734	1402.7868	1896.756	2201.6487	1911.3138	2016.1597	632.6629	345.6839
ARHGAP15	55843	26.0122	119.0476	130.1038	37.8246	34.2958	2.1908	60.9239	4.3493	37.0257	27.3027	56.7876	26.7492	67.9928	183.2053	126.7582	26.4709	18.7827	21.1334	7.7378	9.395	63.7572	89.9295	36.7816	25.327	73.6015	22.113	15.4955	17.3373	18.2472	28.5762	6.2598	19.8785	22.4869	47.8622	17.6864	32.4731	48.3986	1.8031	2.2078	13.4579	57.366	10.5307	7.3844	3.876	34.4149	14.5761	69.4939	2.6643	12.1044	12.9632	45.0828	27.1473	43.9883	38.4437	36.2929	12.788	97.4726	57.2048	6.654	29.6561	20.8908
LOC100129892	55114	694.357	807.4534	660.8997	848.7716	432.228	674.7604	968.7311	649.7156	604.2587	825.5234	450.6048	864.3963	786.9801	1060.4351	1031.3506	1165.1329	848.7641	730.4644	370.5052	701.2401	562.9049	909.2416	750.5747	927.4348	947.5728	953.668	708.1429	694.1469	687.4287	693.1949	708.9202	891.7725	1018.873	772.8143	796.8451	684.2212	682.325	773.8911	834.5522	631.5934	703.5156	762.8475	708.0837	747.093	927.237	947.8328	989.7486	760.6572	845.2906	959.2731	837.0237	1076.9915	861.5836	770.264	1279.9741	591.6314	1254.8238	744.7843	894.1698	807.8534	731.5727
ARHGAP18	93663	88.1057	339.5445	169.5502	86.4097	99.8613	125.9699	91.1842	154.5667	214.0083	190.1986	259.7446	128.7926	505.9675	364.6862	290.1203	241.5469	139.9841	60.3323	163.8598	175.4979	142.5162	228.7609	167.2414	63.6508	133.8881	73.7101	89.5638	1015.3779	128.7832	130.508	169.5357	127.5538	73.8857	173.5801	191.6826	48.0235	101.0676	93.04	145.1635	132.7228	259.7115	155.0126	332.2988	63.9535	138.1514	52.5508	183.8783	106.5719	79.6873	139.4521	119.6888	85.4473	285.044	84.2983	117.304	83.4979	230.4557	179.0922	77.9468	217.2033	188.4115
ARHGAP19	84986	573.9627	353.3471	586.8512	1017.026	461.9947	573.3236	610.8695	707.5309	589.715	533.6176	483.9449	422.083	551.906	559.9615	453.1435	420.639	700.6574	534.8206	206.914	570.5938	340.6751	484.0655	432.2759	462.3178	470.1322	562.7273	405.1941	570.9538	641.6422	613.7441	400.12	358.9398	454.5897	562.2399	696.0516	606.2355	408.1993	640.1983	553.0564	255.7698	289.9799	530.8214	427.525	435.6395	515.2507	526.3445	356.1541	963.6279	382.2973	406.053	510.752	466.0258	476.8563	1168.1658	716.1633	525.9201	527.584	450.9534	429.249	488.1307	485.0099
